Epoch,Training Loss,Validation Loss
100,5.10997200012207,5.031826162338257
200,3.3606369495391846,3.366693878173828
300,2.872051239013672,2.889862394332886
400,2.6371874809265137,2.6692831993103026
500,2.6389694213867188,2.5405345439910887
600,2.4111948013305664,2.4352996587753295
700,2.420754909515381,2.3469387531280517
800,2.223384141921997,2.26836416721344
900,2.279118537902832,2.206933069229126
1000,2.2351315021514893,2.1615808248519897
1100,2.0783581733703613,2.112606906890869
1200,2.091294288635254,2.0847640514373778
1300,1.9346554279327393,2.0515552043914793
1400,2.036072254180908,2.025202775001526
1500,1.9554523229599,1.9945566415786744
1600,1.9963581562042236,1.9692371010780334
1700,1.9186043739318848,1.9458727836608887
1800,1.9031329154968262,1.9234901428222657
1900,1.8071789741516113,1.9048723220825194
2000,1.908263921737671,1.8818003058433532
2100,1.8223557472229004,1.8657116174697876
2200,1.816537857055664,1.852026104927063
2300,1.707996129989624,1.8390809059143067
2400,1.7311052083969116,1.8220776081085206
2500,1.7079874277114868,1.8065078377723693
2600,1.7620325088500977,1.7905240774154663
2700,1.8274462223052979,1.7831348538398744
2800,1.7267906665802002,1.7678162455558777
2900,1.7028989791870117,1.7578477621078492
3000,1.7194371223449707,1.7430076360702516
3100,1.7292397022247314,1.7346226453781128
3200,1.7056210041046143,1.7247053623199462
3300,1.7473089694976807,1.7111279249191285
3400,1.7693902254104614,1.7018754959106446
3500,1.5555241107940674,1.6901369452476502
3600,1.702986240386963,1.6831073999404906
3700,1.6857186555862427,1.6754939317703248
3800,1.5360081195831299,1.6666389465332032
3900,1.6083893775939941,1.6613211154937744
4000,1.6646020412445068,1.6540487408638
4100,1.6829302310943604,1.6469133734703063
4200,1.6716748476028442,1.6423784613609314
4300,1.6220402717590332,1.6373857140541077
4400,1.620988130569458,1.632703709602356
4500,1.5883879661560059,1.629039454460144
4600,1.5200090408325195,1.6252503156661988
4700,1.6059761047363281,1.621815812587738
4800,1.5706210136413574,1.6192326426506043
4900,1.524512767791748,1.6183801531791686
5000,1.6032445430755615,1.6162820219993592
