component,MFLOPs,time,flops_pct,time_pct,pct_diff
attention,75161.93(0.00),15.49(0.38),31.82(0.00),53.83(1.04),-22.01
ffn,161061.27(0.00),13.30(0.85),68.18(0.00),46.17(1.04),22.01
