component,MFLOPs,time,flops_pct,time_pct,pct_diff
attention,32212.25(0.00),8.80(0.01),35.71(0.00),60.18(0.03),-24.47
ffn,57982.06(0.00),5.82(0.00),64.29(0.00),39.82(0.03),24.47
