component,MFLOPs,time,flops_pct,time_pct,pct_diff
attention,14763.95(0.00),2.65(0.01),26.83(0.00),41.14(0.09),-14.31
ffn,40265.32(0.00),3.79(0.00),73.17(0.00),58.86(0.09),14.31
