component,MFLOPs,time,flops_pct,time_pct,pct_diff
attention,5637.14(0.00),1.57(0.03),28.00(0.00),48.61(0.23),-20.61
ffn,14495.51(0.00),1.66(0.02),72.00(0.00),51.39(0.23),20.61
