component,MFLOPs,time,flops_pct,time_pct,pct_diff
attention,90194.31(0.00),27.92(0.37),43.75(0.00),73.63(1.05),-29.88
ffn,115964.12(0.00),10.02(0.69),56.25(0.00),26.37(1.05),29.88
