component,MFLOPs,time,flops_pct,time_pct,pct_diff
attention,193273.53(0.00),48.65(0.15),37.50(0.00),66.38(0.45),-28.88
ffn,322122.55(0.00),24.65(0.55),62.50(0.00),33.62(0.45),28.88
