component,MFLOPs,time,flops_pct,time_pct,pct_diff
attention,7046.43(0.00),1.60(0.03),25.93(0.00),42.83(0.36),-16.90
ffn,20132.66(0.00),2.13(0.01),74.07(0.00),57.17(0.36),16.90
