component,MFLOPs,time,flops_pct,time_pct,pct_diff
attention,2617.25(0.00),1.50(0.02),26.53(0.00),59.22(0.44),-32.69
ffn,7247.76(0.00),1.04(0.01),73.47(0.00),40.78(0.44),32.69
