step,fwd,bwd,loss,optim,total
1,26.4831,37.2931,1.1203,45.6781,110.6083
2,25.5593,37.3002,1.1184,45.6828,109.6909
3,25.7066,37.3453,1.1186,45.6704,109.8707
4,25.0200,37.3801,1.1197,45.6581,109.2064
5,24.8528,37.6177,1.1182,45.6561,109.2747
6,24.5318,37.3079,1.1182,45.6667,108.6533
7,24.4828,37.2580,1.1196,45.6577,108.5479
8,25.2989,37.3182,1.1186,45.6382,109.4044
9,24.6129,37.2275,1.1194,45.6515,108.6394
10,24.7064,37.4262,1.1201,45.6643,108.9461
