step,fwd,bwd,loss,optim,total
1,105.4191,233.6681,1.1162,266.3961,606.6327
2,108.0748,234.4087,1.1143,266.3875,610.0235
3,107.6714,234.9229,1.1154,266.3866,610.1292
4,108.0936,235.2005,1.1162,266.3380,610.8104
5,109.1523,234.7931,1.1181,266.3341,611.4385
6,107.4287,235.7494,1.1162,266.3649,610.6971
7,109.4840,235.9878,1.1174,266.3076,612.9323
8,108.1562,236.3515,1.1150,266.3752,612.0316
9,108.6766,235.8914,1.1161,266.2687,611.9855
10,107.9597,236.4112,1.1160,266.3220,611.8408
