step,fwd,bwd,loss,optim,total
1,76.4068,172.1121,4.3293,45.5127,298.3907
2,76.4043,171.5325,4.3278,45.5385,297.8344
3,76.3986,170.9957,4.3295,45.4904,297.2465
4,76.6275,172.3645,4.3252,45.4984,298.8569
5,76.6316,172.1999,4.3259,45.5127,298.7009
6,76.5320,172.7619,4.3227,45.5126,299.1607
7,76.7488,172.9344,4.3295,45.4870,299.5297
8,76.7099,173.1236,4.3254,45.5248,299.7136
9,76.7421,172.5219,4.3271,45.5107,299.1340
10,76.0920,171.1584,4.3410,45.4697,297.0954
