step,fwd,bwd,loss,optim,total
1,183.5582,413.1380,8.6098,45.6160,650.9523
2,183.4769,413.1211,8.5980,45.6042,650.8306
3,183.0835,415.3338,8.5934,45.6198,652.6637
4,183.3045,414.5555,8.5873,45.6137,652.0959
5,183.6790,415.1849,8.5852,45.5987,653.0802
6,183.6962,414.8199,8.5975,45.6176,652.7617
7,184.6306,415.1173,8.6004,45.6110,653.9903
8,184.2273,414.9072,8.6116,45.5905,653.3685
9,183.9073,416.1993,8.5865,45.6172,654.3413
10,183.9495,415.9547,8.5858,45.6192,654.1392
