step,fwd,bwd,loss,optim,total
1,34.0148,75.5600,2.1996,45.5693,157.3699
2,33.9517,77.5557,2.2016,45.5386,159.2767
3,33.6957,77.6423,2.2009,45.5700,159.1377
4,33.7193,77.5510,2.1996,45.5318,159.0304
5,35.0522,77.8543,2.1957,45.5561,160.6881
6,33.8196,77.7719,2.1975,45.5416,159.3598
7,33.8557,77.7069,2.1975,45.5470,159.3358
8,33.7957,77.6015,2.1974,45.5486,159.1722
9,33.8166,77.6649,2.1996,45.5455,159.2550
10,33.8823,77.6602,2.2002,45.5455,159.3165
