component,MFLOPs,time,flops_pct,time_pct,pct_diff
attention,32212.25(0.00),6.05(0.02),28.57(0.00),44.64(0.09),-16.07
ffn,80530.64(0.00),7.50(0.00),71.43(0.00),55.36(0.09),16.07
