component,MFLOPs,time,flops_pct,time_pct,pct_diff
attention,12884.90(0.00),3.19(0.01),30.77(0.00),51.10(0.09),-20.34
ffn,28991.03(0.00),3.05(0.00),69.23(0.00),48.90(0.09),20.34
